Usuário: Fabio, Hora: 28/11/2023 20:40:27

Usuário: Enzo, Hora: 28/11/2023 21:54:47

Usuário: Enzo, Hora: 28/11/2023 22:02:47

Usuário: Enzo, Hora: 28/11/2023 22:07:06

Usuário: Enzo, Hora: 28/11/2023 22:07:15

Usuário: Enzo, Hora: 28/11/2023 22:07:38

Usuário: Enzo, Hora: 28/11/2023 22:08:18

Usuário: Enzo, Hora: 28/11/2023 22:08:32

Usuário: Enzo, Hora: 28/11/2023 22:08:49

Usuário: Enzo, Hora: 28/11/2023 22:09:37

Usuário: Enzo, Hora: 28/11/2023 22:09:47

Usuário: Enzo, Hora: 28/11/2023 22:09:58

Usuário: Enzo, Hora: 28/11/2023 22:13:08

Usuário: Enzo, Hora: 28/11/2023 22:14:08

Usuário: Enzo, Hora: 28/11/2023 22:14:27

Usuário: Enzo, Hora: 28/11/2023 22:14:52

Usuário: Enzo, Hora: 28/11/2023 22:15:07

Usuário: Enzo, Hora: 28/11/2023 22:17:35

Usuário: Enzo, Hora: 28/11/2023 22:17:50

Usuário: Enzo, Hora: 28/11/2023 22:18:35

Usuário: Enzo, Hora: 28/11/2023 22:19:30

